Ref,Val,Package,PosX,PosY,Rot,Side
"BL1","Photodiode","BPW34",147.434810,-105.036995,90.000000,bottom
"","","",134.780050,-102.013095,0.000000,top
"","","",134.780050,-104.013095,0.000000,top
"","","",134.780050,-106.013095,0.000000,top
"","","",134.780050,-108.013095,0.000000,top
"C1","Capacitor","C1206",156.390000,-102.270000,180.000000,top
"C2","Capacitor","C1206",161.062120,-105.046375,-90.000000,top
"C3","Capacitor","C1206",156.390000,-107.890000,180.000000,top
"C4","Capacitor","C1206",160.280000,-100.160000,0.000000,top
"DD1","TLV6001IDBVT","TLV6001",156.925450,-105.046375,0.000000,top
"HL1","LED","VSMY2850RG",142.400000,-104.950000,-90.000000,top
"HL2","LED","VSMY2850RG",152.400000,-105.100000,-90.000000,top
"R1","Resistor","R0603",138.829390,-101.500000,0.000000,top
"R2","Resistor","R0603",138.800000,-103.850000,180.000000,top
"R3","Resistor","R0603",156.410000,-100.170000,0.000000,top
"R4","Resistor","R0603",138.800000,-108.440000,0.000000,top
"R5","Resistor","R0603",138.800610,-106.160000,180.000000,top
"R6","Resistor","R0603",156.400610,-110.040000,180.000000,top
"R7","Resistor","R0603",160.339390,-107.870000,180.000000,top
"R8","Resistor","R0603",160.340000,-109.990000,0.000000,top
"R9","Resistor","R0603",160.290000,-102.220000,180.000000,top
"R10","Resistor","R0603",147.500000,-105.000000,0.000000,top
"VT1","IRLML6244TRPBF","IRLML",145.454870,-100.810000,0.000000,top
"VT2","IRLML6244TRPBF","IRLML",145.480000,-109.030000,0.000000,top
